Intent detection
Scenario,Run 1,Run 2,Run 3,Run 4,Run 5,Std
0_perc,1.0,0.9971509971509972,1.0,1.0,1.0,0.001
1_perc,0.5299145299145299,0.5327635327635327,0.5470085470085471,0.5413105413105413,0.5071225071225072,0.014
2_perc,0.3592592592592593,0.3888888888888889,0.37037037037037035,0.35185185185185186,0.34444444444444444,0.016
31_perc,0.43874643874643876,0.4586894586894587,0.4586894586894587,0.5299145299145299,0.452991452991453,0.032
32_perc,0.41025641025641024,0.4586894586894587,0.49572649572649574,0.4131054131054131,0.4017094017094017,0.036
33_perc,0.32571428571428573,0.36285714285714293,0.2885714285714286,0.24571428571428572,0.32857142857142857,0.040
Slot filling
Scenario,Run 1,Run 2,Run 3,Run 4,Run 5,Std
0_perc,0.9897698209718669,1.0,1.0,1.0,0.9922480620155039,0.004
1_perc,0.8277634961439589,0.8244473342002602,0.797452229299363,0.8185328185328186,0.8341968911917099,0.013
2_perc,0.5016393442622951,0.4874791318864775,0.4991735537190083,0.49000000000000005,0.5297113752122241,0.015
31_perc,0.47315436241610737,0.3960720130932897,0.39092495636998253,0.48184818481848185,0.44404973357015987,0.038
32_perc,0.4219858156028369,0.44684684684684683,0.4092526690391459,0.42465753424657543,0.4093178036605657,0.014
33_perc,0.4755480607082631,0.47811447811447816,0.4813559322033899,0.4941176470588235,0.49491525423728816,0.008
